groupId,name,abbreviation,isSupplemental,publishedOn,modifiedOn,categoryId
1692,McDonald's Promos 2014,MCD14,FALSE,2014-05-23T00:00:00,2022-12-13T13:31:46.887,3
1464,XY - Flashfire,FLF,FALSE,2014-05-07T00:00:00,2025-12-04T00:42:33.09,3
1532,XY Trainer Kit: Sylveon & Noivern,PR,FALSE,2014-03-12T00:00:00,2024-08-20T18:24:52.08,3
1387,XY Base Set,XY,FALSE,2014-02-05T00:00:00,2025-12-08T12:41:43.903,3
1451,XY Promos,PR,FALSE,2013-12-16T00:00:00,2025-11-29T23:56:11.073,3
1522,Kalos Starter Set,KSS,FALSE,2013-11-08T00:00:00,2022-12-14T16:18:51.623,3
1409,Legendary Treasures,LTR,FALSE,2013-11-06T00:00:00,2025-12-04T05:10:05.147,3
1465,Legendary Treasures: Radiant Collection,LTR,FALSE,2013-11-06T00:00:00,2025-11-29T04:25:16.857,3
1370,Plasma Blast,PLB,FALSE,2013-08-14T00:00:00,2025-12-04T05:24:47.243,3
1382,Plasma Freeze,PLF,FALSE,2013-05-08T00:00:00,2025-12-04T05:45:09.97,3
1413,Plasma Storm,PLS,FALSE,2013-02-06T00:00:00,2025-12-04T22:52:24.32,3
1408,Boundaries Crossed,BCR,FALSE,2012-11-07T00:00:00,2025-12-04T23:34:25.913,3
1426,Dragon Vault,DRV,FALSE,2012-10-05T00:00:00,2023-08-29T12:38:19.02,3
1394,Dragons Exalted,DRX,FALSE,2012-08-15T00:00:00,2025-12-04T22:17:15.307,3
1427,McDonald's Promos 2012,,FALSE,2012-06-15T00:00:00,2022-11-17T21:11:14.983,3
1386,Dark Explorers,DEX,FALSE,2012-05-09T00:00:00,2025-11-26T03:05:03.047,3
1412,Next Destinies,NXD,FALSE,2012-02-08T00:00:00,2025-11-24T14:17:28.77,3
1385,Noble Victories,NVI,FALSE,2011-11-16T00:00:00,2025-11-29T01:42:07.227,3
1538,BW Trainer Kit: Excadrill & Zoroark,BLW,FALSE,2011-09-05T00:00:00,2024-11-13T20:34:29.653,3
1424,Emerging Powers,EPO,FALSE,2011-08-31T00:00:00,2025-12-01T23:24:35.59,3
1401,McDonald's Promos 2011,,FALSE,2011-06-17T00:00:00,2025-11-13T14:21:49.313,3
1400,Black and White,BLW,FALSE,2011-04-25T00:00:00,2025-12-03T17:25:33.417,3
1407,Black and White Promos,PR,FALSE,2011-04-25T00:00:00,2025-11-21T18:09:55.84,3
1415,Call of Legends,CL,FALSE,2011-02-09T00:00:00,2025-11-29T03:08:50.503,3
2332,Professor Program Promos,PPP,TRUE,2011-01-07T00:00:00,2025-11-21T15:21:34.837,3
1381,Triumphant,TM,FALSE,2010-11-03T00:00:00,2025-11-11T05:00:32.487,3
1403,Undaunted,UD,FALSE,2010-08-18T00:00:00,2025-11-21T18:27:04.58,3
2205,Pikachu World Collection Promos,PWCP,TRUE,2010-07-08T00:00:00,2021-12-10T14:04:09.17,3
1540,HGSS Trainer Kit: Gyarados & Raichu,PR,FALSE,2010-05-12T00:00:00,2023-12-20T19:38:47.463,3
1399,Unleashed,UL,FALSE,2010-05-12T00:00:00,2025-12-02T05:38:06.9,3
1402,HeartGold SoulSilver,HS,FALSE,2010-02-10T00:00:00,2025-12-02T22:14:11.94,3
1453,HGSS Promos,PR,FALSE,2010-02-01T00:00:00,2025-12-03T12:48:35.167,3
1433,Rumble,RUM,FALSE,2009-11-16T00:00:00,2022-11-17T21:25:24.627,3
1391,Arceus,AR,FALSE,2009-11-04T00:00:00,2025-11-24T16:27:33.423,3
1384,Supreme Victors,SV,FALSE,2009-08-19T00:00:00,2025-11-21T23:05:54.833,3
1367,Rising Rivals,RR,FALSE,2009-05-16T00:00:00,2025-11-24T13:00:31.27,3
2175,Burger King Promos,BKP,TRUE,2009-04-03T00:00:00,2025-04-23T14:20:16.637,3
1406,Platinum,PL,FALSE,2009-02-11T00:00:00,2025-11-29T01:41:30.14,3
1369,Stormfront,SF,FALSE,2008-11-05T00:00:00,2025-11-20T07:01:54.143,3
2155,Countdown Calendar Promos,CCP,TRUE,2008-10-01T00:00:00,2022-09-21T19:48:30.323,3
1417,Legends Awakened,LA,FALSE,2008-08-20T00:00:00,2025-12-04T18:57:59.753,3
1390,Majestic Dawn,MD,FALSE,2008-05-21T00:00:00,2025-11-20T05:11:01.18,3
1405,Great Encounters,GE,FALSE,2008-02-13T00:00:00,2025-11-14T21:51:43.913,3
1380,Secret Wonders,SW,FALSE,2007-11-07T00:00:00,2025-12-02T01:16:35.93,3
609,DP Training Kit 1 Blue,PR,FALSE,2007-09-24T00:00:00,2023-02-16T15:35:27.873,3
610,DP Training Kit 1 Gold,PR,FALSE,2007-09-24T00:00:00,2023-02-16T15:42:26.723,3
1541,DP Trainer Kit: Manaphy & Lucario,PR,FALSE,2007-09-03T00:00:00,2024-10-14T11:32:25.06,3
1368,Mysterious Treasures,MT,FALSE,2007-08-22T00:00:00,2025-11-19T22:31:01.4,3
1430,Diamond and Pearl,DP,FALSE,2007-05-23T00:00:00,2025-11-20T03:18:25.69,3
1421,Diamond and Pearl Promos,PR,FALSE,2007-05-01T00:00:00,2025-11-20T15:52:59.61,3
1383,Power Keepers,PK,FALSE,2007-02-01T00:00:00,2025-11-19T23:34:54.853,3
1411,Dragon Frontiers,DF,FALSE,2006-11-08T00:00:00,2025-11-20T01:45:25.3,3
1395,Crystal Guardians,CG,FALSE,2006-08-30T00:00:00,2025-11-20T01:07:25.737,3
1379,Holon Phantoms,HP,FALSE,2006-05-03T00:00:00,2025-11-20T01:48:22.11,3
1378,Legend Maker,LM,FALSE,2006-02-13T00:00:00,2025-11-20T02:53:17.637,3
1429,Delta Species,DS,FALSE,2005-10-31T00:00:00,2025-11-29T03:19:32.107,3
1398,Unseen Forces,UF,FALSE,2005-08-22T00:00:00,2025-11-20T03:44:09.08,3
1410,Emerald,EM,FALSE,2005-05-09T00:00:00,2025-11-20T21:47:17.573,3
1404,Deoxys,DX,FALSE,2005-02-14T00:00:00,2025-12-02T03:05:25.027,3
1428,Team Rocket Returns,RR,FALSE,2004-11-01T00:00:00,2025-12-02T02:53:18.093,3
1853,EX Battle Stadium,BST,FALSE,2004-10-18T00:00:00,2025-11-30T01:33:26.46,3
1419,FireRed & LeafGreen,RG,FALSE,2004-08-30T00:00:00,2025-12-01T22:56:34.873,3
2214,Kids WB Promos,KWBP,FALSE,2004-07-02T00:00:00,2022-09-26T18:33:37.613,3
1416,Hidden Legends,HL,FALSE,2004-06-14T00:00:00,2025-12-01T23:04:02.47,3
1377,Team Magma vs Team Aqua,MA,FALSE,2004-03-15T00:00:00,2025-12-01T23:53:04.953,3
1376,Dragon,DR,FALSE,2003-11-24T00:00:00,2025-12-02T22:18:00.023,3
1392,Sandstorm,SS,FALSE,2003-09-18T00:00:00,2025-12-01T23:55:20.293,3
1393,Ruby and Sapphire,RS,FALSE,2003-06-18T00:00:00,2025-12-01T22:39:48.073,3
1372,Skyridge,SK,FALSE,2003-05-12T00:00:00,2025-12-02T02:38:27.51,3
1397,Aquapolis,AQ,FALSE,2003-01-15T00:00:00,2025-11-24T21:21:34.13,3
1455,Best of Promos,PR,FALSE,2002-12-01T00:00:00,2025-11-24T20:25:53.33,3
1375,Expedition,EX,FALSE,2002-09-15T00:00:00,2025-12-01T23:54:33.317,3
24493,e-Reader Sample Cards,SAMPLE,FALSE,2002-08-02T00:00:00,2025-11-04T16:39:55.377,3
1374,Legendary Collection,LC,FALSE,2002-05-24T00:00:00,2025-11-29T03:12:48.18,3
1444,Neo Destiny,N4,FALSE,2002-02-28T00:00:00,2025-11-25T22:23:24.09,3
1389,Neo Revelation,N3,FALSE,2001-09-21T00:00:00,2025-11-22T03:46:58.53,3
648,Southern Islands,SI,FALSE,2001-07-31T00:00:00,2025-01-13T18:34:58.453,3
1434,Neo Discovery,N2,FALSE,2001-06-01T00:00:00,2025-12-03T14:01:51.59,3
1396,Neo Genesis,N1,FALSE,2000-12-16T00:00:00,2025-11-29T03:14:10.233,3
1440,Gym Challenge,G2,FALSE,2000-10-16T00:00:00,2025-12-02T17:15:36.71,3
1441,Gym Heroes,G1,FALSE,2000-10-14T00:00:00,2025-12-03T12:54:53.693,3
1373,Team Rocket,TR,FALSE,2000-04-24T00:00:00,2025-12-02T20:17:01.913,3
605,Base Set 2,BS2,FALSE,2000-02-24T00:00:00,2025-12-02T01:10:28.84,3
630,Fossil,FO,FALSE,1999-10-10T00:00:00,2025-12-08T17:23:07.01,3
1418,WoTC Promo,PR,FALSE,1999-07-01T00:00:00,2025-12-04T13:54:54.95,3
635,Jungle,JU,FALSE,1999-06-16T00:00:00,2025-11-29T03:18:21.277,3
604,Base Set,BS,FALSE,1999-01-09T00:00:00,2025-11-29T03:26:56.117,3
1663,Base Set (Shadowless),BSS,FALSE,1999-01-09T00:00:00,2025-11-29T03:25:32.267,3
2289,Blister Exclusives,BLE,TRUE,1998-02-27T00:00:00,2025-11-29T00:08:18.56,3
1543,EX Trainer Kit 1: Latias & Latios,PR,FALSE,2025-12-08T20:00:05.8093995Z,2025-08-21T16:20:14.833,3
1542,EX Trainer Kit 2: Plusle & Minun,PR,FALSE,2025-12-08T20:00:05.8250419Z,2024-05-03T19:42:49.017,3
1423,Nintendo Promos,PR,FALSE,2025-12-08T20:00:05.8250419Z,2025-11-25T16:50:56.497,3
1422,POP Series 1,POP,FALSE,2025-12-08T20:00:05.8250419Z,2025-03-17T17:09:52.317,3
1447,POP Series 2,POP,FALSE,2025-12-08T20:00:05.8250419Z,2025-11-12T14:26:44.223,3
1442,POP Series 3,POP,FALSE,2025-12-08T20:00:05.8250419Z,2025-11-17T14:05:43.473,3
1452,POP Series 4,POP,FALSE,2025-12-08T20:00:05.8250419Z,2023-02-01T15:02:28.727,3
1439,POP Series 5,POP,FALSE,2025-12-08T20:00:05.8250419Z,2024-03-23T21:26:09.477,3
1432,POP Series 6,POP,FALSE,2025-12-08T20:00:05.8250419Z,2025-11-20T07:00:15.483,3
1414,POP Series 7,POP,FALSE,2025-12-08T20:00:05.8250419Z,2025-01-08T07:03:26.94,3
1450,POP Series 8,POP,FALSE,2025-12-08T20:00:05.8250419Z,2025-11-20T01:24:25.957,3
1446,POP Series 9,POP,FALSE,2025-12-08T20:00:05.8250419Z,2025-11-12T14:38:03.08,3
